Keyword,Correlation,P_Value,Count
다이어트,0.15320099175981478,1.116301948071779e-18,174
음악,0.06167587489151964,0.0004088953541225653,73
수면,0.052285858444530035,0.0027409794905598524,69
불면증,0.04748867936401126,0.006523540094421561,97
뇌졸중,-0.029189494272182162,0.09463504761494408,186
아토피,-0.029657265319176652,0.08946326840592436,125
폐암,-0.03017757651269362,0.0839804556273752,165
증상,-0.03181464501382314,0.06848044712541888,238
지방간,-0.033362032895269636,0.056070155856635724,170
건강,-0.034923559850797245,0.045504065071065226,386
위암,-0.03495011439133715,0.0453399952025463,178
