Video_ID,Keyword,Title,Channel,Views,Likes,Published_At,Duration_Sec,Medical_Score,Type,Source_Type
5hvsiSOimaY,당뇨,"당뇨에 좋은 음식, 혈당수치 뚝 떨어집니다.",건나물TV,9985009,107767,2021-08-10T23:00:01Z,650,10.9717868338558,Medical Pro,Description
fxMZRqFU3us,당뇨,[ENG SUB] 신동진 한의사가 직접 먹어보고 검증한 당뇨에 좋은 음식 Best5 - 신동진의 닥터밥상 #53,굿라이프,3003593,46920,2020-07-31T08:00:07Z,575,26.69039145907473,General,Description
CZuM-JGAXio,당뇨,당뇨를 이긴 사람들의 운동법 (KBS_2018.11.07),KBS 생로병사의 비밀,2813231,20579,2021-04-18T08:00:15Z,1398,2.00280112044818,General,Description
Fb68jBgSQxE,당뇨,"[Full] 귀하신 몸 - 7부 당뇨병 직전, 마지막 경고",EBSDocumentary (EBS 다큐),2527324,19820,2023-06-30T17:00:08Z,2730,7.722007722007722,General,Description
r64-CfnNbZ8,당뇨,"식사 후 허기짐, 식곤증, 폭식! 당뇨 시작 전 경고입니다. 혈당 잡는 식사법 이렇게 해보세요|귀하신 몸|#골라듄다큐",EBSDocumentary (EBS 다큐),2216212,15930,2023-07-04T02:00:21Z,2388,5.208333333333333,General,Description
6ZrsdZostJ0,당뇨,이 4가지만 안먹어도 당뇨와 치매에 안걸린다 [당뇨와 치매가 낫는다] - 1편,닥터쓰리 - 한미일의사의 쉬운 의학,2102507,60725,2020-01-11T22:12:49Z,884,4.2105263157894735,Medical Pro,Description
wqxr_wetnkY,당뇨,당뇨에는 무조건 매일! 먹어야 하는 음식 3가지 #건강 #건강정보 #당뇨 #혈당 #당뇨관리 #당뇨병,건강이알고싶다,2734460,99391,2025-01-16T06:00:39Z,60,16.129032258064516,General,Description
hvaov-wbfYw,당뇨,[한꺼번에 몰아보기] 혈당 뚝 떨어지는 당뇨 식이요법 완결판,이재성 박사의 식탁보감,1457673,30176,2023-09-10T00:00:15Z,2968,1.8656716417910448,General,Description
evrt7oBp0jc,당뇨,깨끗한 혈관 관리를 위한 의사들의 추천 단호박! 당뇨에도 단호박이 좋을까?,바른건강,1388524,19668,2022-07-21T01:23:42Z,1112,7.6923076923076925,General,Description
oDFeXQ9un6A,당뇨,"당뇨에 좋은 최고의 채소, 췌장 보호되는 최고의 항산화 채소 l 당뇨 환자 채소 TOP 3! l 채소 종류별 당뇨 예방 메타분석 l 닥터딩요",닥터딩요,1376531,23793,2024-08-02T11:00:58Z,1193,21.88552188552189,Medical Pro,Description
BaldiszhnZw,당뇨,당뇨병을 예방하려면 꼭 해야되는 이 운동! 하루 7분하면 정상 혈당 됩니다! 식후 혈당스파이크를 막아야 고혈당을 낮출 수 있습니다! [인슐린 저항성을 개선하는 혈당 낮추는 운동],인간미 넘치는 건강멘토,1206278,30894,2024-08-23T10:00:07Z,965,7.641365257259297,General,Description
wcKLKODazrE,당뇨,당뇨병의 원인과 증상 ✔ 궁금증 해결 / 가천대 길병원 내분비내과 김병준 교수,길병원TV,1145413,16773,2022-08-25T11:00:29Z,3027,17.51824817518248,Medical Pro,Description
JlTQM86qBG8,당뇨,심부전까지 치료하는 당뇨약 (KBS 20221005 방송),KBS 생로병사의 비밀,1117151,7159,2022-10-13T09:05:15Z,551,13.01801801801802,General,Description
UpoCJLjqKEo,당뇨,설탕보다 더 위험한 당뇨를 유발하는 최악의 습관,암 찾는 의사 이원경,1811721,18905,2025-06-04T04:33:23Z,125,26.31578947368421,Medical Pro,Description
qS-VZInAcmU,당뇨,"만원으로 막는 당뇨병, 건강 지키는 음식 공개",지식붐,1991102,23437,2025-09-01T14:10:01Z,60,10.260492040520983,General,Description
HIIoFFa5E3E,당뇨,"대한민국 4명 중 1명은 해당! 당뇨, 고혈압, 뇌졸증 유발하는 콜레스테롤 약 없이도 2주만에 정상수치로 돌아가는 법｜콜레스테롤에 좋은 음식｜귀하신 몸｜#골라듄다큐",EBSDocumentary (EBS 다큐),981886,9178,2025-01-01T09:00:12Z,2352,10.649627263045794,General,Description
StWaKgO2kb4,당뇨,콜라보다 더 위험합니다. 의사들이 경고한 당뇨 음식 4가지,건강한한국인 건강정보,1566404,25203,2025-07-02T21:00:38Z,58,6.479481641468682,General,Description
t9y-XfTQ8Xk,당뇨,"""맛있는데 어떻게 참아요😭"" 전당뇨, 제대로 관리 안 했더니 비극이 닥쳤다｜당뇨병 예방하는 혈당 관리법｜먹는 순서만 바꿨더니 확 낮아진 혈당 수치｜명의｜#EBS건강",EBS 건강,922778,7544,2025-01-26T08:00:51Z,2251,11.494252873563218,General,Description
kFoWo0R-T3M,당뇨,249. 밥 할 때 넣으면 당뇨와 혈관에 좋은 음식 ㅣft 부부한의사,부부한의사,844740,13150,2023-06-30T10:17:00Z,53,15.0,Medical Pro,Description
MEGTZdT7eGM,당뇨,"당뇨 환자 라면, 짜장면 마음껏 먹는 방법! l 당뇨 환자 면 먹는 방법 l 닥터딩요",닥터딩요,831254,11801,2024-01-30T11:00:17Z,1378,25.078369905956112,Medical Pro,Description
-Z2Iv8mgb88,당뇨,당뇨 환자라면 꼭 끊어야만 할 음식 3가지는? #shorts,내과전문의 닥터케이 Dr.K,823317,10818,2022-03-03T08:51:46Z,57,17.54385964912281,Medical Pro,Description
SSP4GuBuYKc,당뇨,당뇨합병증으로 실명부터 말기신부전까지… 무서운 가족력으로 당뇨의 위험에 빠진 가족을 구하러 ‘솔루션 드림팀’이 나섰다!┃EBS 가족건강 프로젝트┃알고e즘,EBSCulture (EBS 교양),820973,6684,2023-06-04T08:00:12Z,1843,3.067484662576687,General,Description
