Channel,Channel_ID,Subscribers,Total_Views,Total_Videos
건나물TV,UC6xugt5HrbJpVMUQvnTkulw,1270000.0,548608348.0,1486.0
굿라이프,UCHxzuqAQ0DU9y1eaqUltXtw,19900.0,10087604.0,201.0
KBS 생로병사의 비밀,UCiV4_cGVt-t-j6jMQ7RCrXw,849000.0,462465185.0,6798.0
EBSDocumentary (EBS 다큐),UCFCtZJTuJhE18k8IXwmXTYQ,5350000.0,7308014375.0,66092.0
닥터쓰리 - 한미일의사의 쉬운 의학,UCkpAw1Z13syiCKj_igxK_xA,435000.0,58556803.0,401.0
건강이알고싶다,UCoi4V1acTv1EfBe_ooxoBqQ,63800.0,15053976.0,162.0
이재성 박사의 식탁보감,UCUIDRva6N0c3I10d9QOqefw,1280000.0,215540968.0,524.0
바른건강,UCkARt3BEOlHCNtLPVuKZgQA,461000.0,207972549.0,4960.0
닥터딩요,UCedNxnMK3b2-_hzqLyo4stg,853000.0,105341657.0,390.0
인간미 넘치는 건강멘토,UCGa7bzc9nchy7PQshb85I5Q,531000.0,54715994.0,488.0
길병원TV,UCTHZLYJyvhkg1hZ2vDzixuQ,135000.0,23385621.0,1443.0
암 찾는 의사 이원경,UC5UwSbZuTkyaf_Givu_2bxQ,340000.0,60484422.0,176.0
지식붐,UCn2rAUW5pkonTJWF1HADJcg,0.0,380.0,1.0
건강한한국인 건강정보,UCyX7Odi7l_oyM5Z-OxJtXTA,71600.0,40786453.0,1033.0
EBS 건강,UCKdvqF-mmgiifS_pinO_bRA,446000.0,189871275.0,1509.0
부부한의사,UCq5SkAyupUwt3IRS9TppTvw,481000.0,174682496.0,929.0
내과전문의 닥터케이 Dr.K,UC9p63MYZE5nUKmr2RS0fNwA,374000.0,48310377.0,396.0
EBSCulture (EBS 교양),UCl_tB4AqPkkxuYcJQHz6dMw,2970000.0,2623225849.0,60613.0
서울아산병원,UC08tP3KIyCK9vYNZm5qQuiw,387000.0,112092372.0,3184.0
언더스탠딩 : 세상의 모든 지식,UCIUni4ScRp4mqPXsxy62L5w,1320000.0,530972206.0,4090.0
건강장수TV,UCeTXvjj2t4-jpbNGbJ05WKQ,86.0,31192.0,20.0
김작가 TV,UCvil4OAt-zShzkKHsg9EQAw,2680000.0,1278218845.0,6370.0
경희의료원,UCSPd120sfHaijEkMmDNVdKQ,28300.0,4845846.0,1183.0
약간 헷갈리면 약국 캠페인,UCR6AgW12Rlb_H9Ff_ZBVQ_g,3970.0,1986720.0,4.0
의사친[의사사람친구],UC8EMF6H5YOCk-BdNEuYnkbA,246000.0,61715966.0,1088.0
건강박사,UC2-gb53qXD1LgyRq0K36l8A,195000.0,13428019.0,214.0
건강백단 - 건강정보,UCSqJOwP528MNmSBHjLQRW1A,124000.0,130015140.0,322.0
루이빈치과 류지헌,UCmzK71U9c8w--ejwOTiELgg,363000.0,186677291.0,2700.0
오징어약사TV - 가장 쉬운 건강채널,UCzXIFIChH0pN_8ZLvf5pgQg,645000.0,95042281.0,492.0
분당서울대학교병원,UCzp_EKglYlon4-hOCF6tdfw,272000.0,38682573.0,631.0
신사임당,UCaJdckl6MBdDPDf75Ec_bJA,2730000.0,931714543.0,9566.0
서울대병원tv,UCq1tdFBQNN47kESigh9Xd1A,377000.0,132374809.0,2700.0
당뇨스쿨,UCZcVBt_bK384j_0iW1ARQtQ,268000.0,49251025.0,2075.0
당뇨생활,UCz2mkGlL3plh-HU0ew_6STQ,100000.0,25559135.0,676.0
헬스조선 Health Chosun,UCAALfFyHolJ0jjgKoSMZ15Q,238000.0,108677929.0,2715.0
오만스토리,UC8M6xFrsuSo6KeSJFiPBKOw,64200.0,13669457.0,25.0
무조건당신편,UCTp5fJVTDuFmf_dVfIMF7Nw,423000.0,87705532.0,2884.0
EBS 컬렉션 - 사이언스,UCiFYUP4_TI70yCkkVJAlxoA,1310000.0,542657127.0,2916.0
KBS 1라디오,UCMLJc_D3jgFcS_48G7i4V0A,1370000.0,903187353.0,35973.0
KBS 다큐,UC4LW3sOslC14Vn5bcoNUBkg,2730000.0,2094166595.0,46928.0
