Video_ID,Keyword,Title,Channel,Views,Likes,Published_At,Duration_Sec,Medical_Score,Type,Source_Type,Age_Days,Views_Per_Day,Log_VPD,Fear_Score,Has_Fear,Is_Shorts
5hvsiSOimaY,당뇨,"당뇨에 좋은 음식, 혈당수치 뚝 떨어집니다.",건나물TV,9985009,107767,2021-08-10 23:00:01+00:00,650,10.9717868338558,Medical Pro,Description,1712,5832.365070093458,8.671349311816146,0,0,0
fxMZRqFU3us,당뇨,[ENG SUB] 신동진 한의사가 직접 먹어보고 검증한 당뇨에 좋은 음식 Best5 - 신동진의 닥터밥상 #53,굿라이프,3003593,46920,2020-07-31 08:00:07+00:00,575,26.69039145907473,General,Description,2087,1439.1916626736943,7.272531482792104,0,0,0
CZuM-JGAXio,당뇨,당뇨를 이긴 사람들의 운동법 (KBS_2018.11.07),KBS 생로병사의 비밀,2813231,20579,2021-04-18 08:00:15+00:00,1398,2.00280112044818,General,Description,1826,1540.6522453450164,7.340610006863863,0,0,0
Fb68jBgSQxE,당뇨,"[Full] 귀하신 몸 - 7부 당뇨병 직전, 마지막 경고",EBSDocumentary (EBS 다큐),2527324,19820,2023-06-30 17:00:08+00:00,2730,7.722007722007722,General,Description,1023,2470.5024437927664,7.812581521535829,1,1,0
r64-CfnNbZ8,당뇨,"식사 후 허기짐, 식곤증, 폭식! 당뇨 시작 전 경고입니다. 혈당 잡는 식사법 이렇게 해보세요|귀하신 몸|#골라듄다큐",EBSDocumentary (EBS 다큐),2216212,15930,2023-07-04 02:00:21+00:00,2388,5.208333333333333,General,Description,1019,2174.889106967615,7.685192644805732,1,1,0
6ZrsdZostJ0,당뇨,이 4가지만 안먹어도 당뇨와 치매에 안걸린다 [당뇨와 치매가 낫는다] - 1편,닥터쓰리 - 한미일의사의 쉬운 의학,2102507,60725,2020-01-11 22:12:49+00:00,884,4.2105263157894735,Medical Pro,Description,2289,918.5264307557885,6.823858788335755,0,0,0
wqxr_wetnkY,당뇨,당뇨에는 무조건 매일! 먹어야 하는 음식 3가지 #건강 #건강정보 #당뇨 #혈당 #당뇨관리 #당뇨병,건강이알고싶다,2734460,99391,2025-01-16 06:00:39+00:00,60,16.129032258064516,General,Description,457,5983.501094091904,8.696928255134347,0,0,1
hvaov-wbfYw,당뇨,[한꺼번에 몰아보기] 혈당 뚝 떨어지는 당뇨 식이요법 완결판,이재성 박사의 식탁보감,1457673,30176,2023-09-10 00:00:15+00:00,2968,1.8656716417910448,General,Description,951,1532.7791798107255,7.335490020985612,0,0,0
evrt7oBp0jc,당뇨,깨끗한 혈관 관리를 위한 의사들의 추천 단호박! 당뇨에도 단호박이 좋을까?,바른건강,1388524,19668,2022-07-21 01:23:42+00:00,1112,7.6923076923076925,General,Description,1367,1015.7454279444038,6.924362048041943,0,0,0
oDFeXQ9un6A,당뇨,"당뇨에 좋은 최고의 채소, 췌장 보호되는 최고의 항산화 채소 l 당뇨 환자 채소 TOP 3! l 채소 종류별 당뇨 예방 메타분석 l 닥터딩요",닥터딩요,1376531,23793,2024-08-02 11:00:58+00:00,1193,21.88552188552189,Medical Pro,Description,624,2205.9791666666665,7.6993799665505,0,0,0
BaldiszhnZw,당뇨,당뇨병을 예방하려면 꼭 해야되는 이 운동! 하루 7분하면 정상 혈당 됩니다! 식후 혈당스파이크를 막아야 고혈당을 낮출 수 있습니다! [인슐린 저항성을 개선하는 혈당 낮추는 운동],인간미 넘치는 건강멘토,1206278,30894,2024-08-23 10:00:07+00:00,965,7.641365257259297,General,Description,603,2000.4610281923715,7.601632706942721,0,0,0
wcKLKODazrE,당뇨,당뇨병의 원인과 증상 ✔ 궁금증 해결 / 가천대 길병원 내분비내과 김병준 교수,길병원TV,1145413,16773,2022-08-25 11:00:29+00:00,3027,17.51824817518248,Medical Pro,Description,1332,859.9196696696697,6.758001201201333,1,1,0
JlTQM86qBG8,당뇨,심부전까지 치료하는 당뇨약 (KBS 20221005 방송),KBS 생로병사의 비밀,1117151,7159,2022-10-13 09:05:15+00:00,551,13.01801801801802,General,Description,1283,870.7334372564302,6.770483685956204,0,0,0
UpoCJLjqKEo,당뇨,설탕보다 더 위험한 당뇨를 유발하는 최악의 습관,암 찾는 의사 이원경,1811721,18905,2025-06-04 04:33:23+00:00,125,26.31578947368421,Medical Pro,Description,318,5697.235849056604,8.647911905752073,2,1,0
qS-VZInAcmU,당뇨,"만원으로 막는 당뇨병, 건강 지키는 음식 공개",지식붐,1991102,23437,2025-09-01 14:10:01+00:00,60,10.260492040520983,General,Description,229,8694.768558951964,9.070591813790932,0,0,1
HIIoFFa5E3E,당뇨,"대한민국 4명 중 1명은 해당! 당뇨, 고혈압, 뇌졸증 유발하는 콜레스테롤 약 없이도 2주만에 정상수치로 돌아가는 법｜콜레스테롤에 좋은 음식｜귀하신 몸｜#골라듄다큐",EBSDocumentary (EBS 다큐),981886,9178,2025-01-01 09:00:12+00:00,2352,10.649627263045794,General,Description,472,2080.2669491525426,7.640732097432552,0,0,0
StWaKgO2kb4,당뇨,콜라보다 더 위험합니다. 의사들이 경고한 당뇨 음식 4가지,건강한한국인 건강정보,1566404,25203,2025-07-02 21:00:38+00:00,58,6.479481641468682,General,Description,290,5401.393103448276,8.594597301687974,2,1,1
t9y-XfTQ8Xk,당뇨,"""맛있는데 어떻게 참아요😭"" 전당뇨, 제대로 관리 안 했더니 비극이 닥쳤다｜당뇨병 예방하는 혈당 관리법｜먹는 순서만 바꿨더니 확 낮아진 혈당 수치｜명의｜#EBS건강",EBS 건강,922778,7544,2025-01-26 08:00:51+00:00,2251,11.494252873563218,General,Description,447,2064.3803131991053,7.633069659478458,0,0,0
kFoWo0R-T3M,당뇨,249. 밥 할 때 넣으면 당뇨와 혈관에 좋은 음식 ㅣft 부부한의사,부부한의사,844740,13150,2023-06-30 10:17:00+00:00,53,15.0,Medical Pro,Description,1023,825.7478005865103,6.717499691545706,0,0,1
MEGTZdT7eGM,당뇨,"당뇨 환자 라면, 짜장면 마음껏 먹는 방법! l 당뇨 환자 면 먹는 방법 l 닥터딩요",닥터딩요,831254,11801,2024-01-30 11:00:17+00:00,1378,25.078369905956112,Medical Pro,Description,809,1027.5080346106304,6.9358645210319985,0,0,0
-Z2Iv8mgb88,당뇨,당뇨 환자라면 꼭 끊어야만 할 음식 3가지는? #shorts,내과전문의 닥터케이 Dr.K,823317,10818,2022-03-03 08:51:46+00:00,57,17.54385964912281,Medical Pro,Description,1507,546.3284671532847,6.305049110598197,0,0,1
SSP4GuBuYKc,당뇨,당뇨합병증으로 실명부터 말기신부전까지… 무서운 가족력으로 당뇨의 위험에 빠진 가족을 구하러 ‘솔루션 드림팀’이 나섰다!┃EBS 가족건강 프로젝트┃알고e즘,EBSCulture (EBS 교양),820973,6684,2023-06-04 08:00:12+00:00,1843,3.067484662576687,General,Description,1049,782.6244041944709,6.663929829274138,3,1,0
9jGaam5NStQ,당뇨,당뇨 예방법 l 당뇨전단계/초기당뇨 탈출하기 l 닥터딩요,닥터딩요,782858,21436,2019-08-09 23:51:43+00:00,1487,18.134715025906736,Medical Pro,Description,2444,320.31833060556465,5.77243231586564,0,0,0
9cVWXNGzNys,당뇨,[당뇨빵 레시피] 당뇨인 필수 시청! 혈당 덜 올리고 빵 먹는 법,서울아산병원,783018,9106,2022-01-11 08:00:07+00:00,459,3.1055900621118013,Medical Pro,Description,1558,502.57894736842104,6.221740497023973,0,0,0
sTY3n8nFpOE,당뇨,"밀가루 vs 과일, 이것이 당뇨에 치명적입니다 (서울대병원 이승훈 교수)",언더스탠딩 : 세상의 모든 지식,777983,17256,2025-08-19 12:31:08+00:00,4751,8.880994671403197,General,Description,242,3214.805785123967,8.075833238277523,1,1,0
FFAtjiXQ8Yg,당뇨,(ENG/CN)당뇨 환자가 꼭 끊어야 할 세 가지가 있다?,내과전문의 닥터케이 Dr.K,5592600,91671,2020-06-13 00:14:59+00:00,807,12.5,Medical Pro,Description,2135,2619.4847775175645,7.871114609226137,0,0,0
1e3fdWqWQEg,당뇨,[닥터4가지] 당뇨병에 걸리면 좋은 점 4가지! / 당뇨명의 김광원 교수,길병원TV,901386,14325,2021-03-12 07:00:01+00:00,253,20.37037037037037,Medical Pro,Description,1863,483.8357487922705,6.183810171294483,0,0,0
